id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
140,2120408840,1984,0,0,0
141,2120408850,1984,0.0387,0.0918,0.0846
142,2120409050,1984,0.0189,0,0
143,2120409150,1984,0.0396,0,0.0018
144,2121125210,1984,0.063,0,0
145,2120049460,1984,0.0018,0,0
146,2120049470,1984,0.0117,0,0.0027
147,2120049480,1984,0.0423,0.0693,0.0531
148,2121123300,1984,0.027,0,0
149,2120406510,1984,0.0315,0.0027,0.0126
150,2120406150,1984,0,0,0
151,2120404920,1984,0.0279,0,0
152,2120404910,1984,0.0081,0,0
153,2120407470,1984,0,0,0
154,2120407320,1984,0.0036,0,0
155,2120408260,1984,0.0144,0.0027,0.0009
156,2120408420,1984,0.009,0,0
157,2120049490,1984,0.315,0.4131,0.657
158,2120049500,1984,0.306,0.0783,0.2817
159,2120049510,1984,0.0945,0.0135,0.0198
160,2120049520,1984,0.2052,0,0.0045
161,2120400470,1984,0.0126,0,0.0063
162,2120400600,1984,0.0171,0.0333,0.162
163,2120402980,1984,0.0009,0,0
164,2120402970,1984,0.0072,0,0
165,2120404010,1984,0.0117,0,0
166,2120404000,1984,0,0,0
167,2120404570,1984,0.0207,0,0
168,2120404580,1984,0.0234,0,0
169,2121123740,1984,0.0036,0,0
170,2121123830,1984,0.1881,0.3096,0.0198
171,2121123910,1984,0.0054,0.0045,0.0054
172,2121124520,1984,0.1269,0.0567,0.3087
173,2120049530,1984,0,0,0
174,2120049540,1984,0.009,0,0
175,2120049550,1984,0.0513,0.0099,0.0324
176,2121121920,1984,1.1727,0.0009,0
177,2121122320,1984,0.0297,0,0
178,2121122930,1984,0.0585,0,0.0018
179,2120049560,1984,0.0585,0.0198,0.036
180,2120049570,1984,0.0504,0.0054,0.0846
181,2120049580,1984,0.1836,0.0162,0.009
182,2120049590,1984,0.2556,0.0423,0.2304
183,2120049600,1984,0.2268,0.252,0.693
184,2120049610,1984,0.2241,0.0756,0.1818
185,2120392820,1984,0,0,0
186,2120392650,1984,0.3285,0.0108,0.0099
187,2120393550,1984,0.1899,0.3555,5.3622
188,2120393560,1984,0.0657,0.0171,0.0207
189,2120393990,1984,0,0,0
190,2120394130,1984,0,0,0
191,2120395190,1984,0.0018,0,0
192,2120395410,1984,0,0,0
193,2120395880,1984,0.0369,0.0009,0.0063
194,2120395890,1984,0,0,0
195,2120395750,1984,0,0,0
196,2120395970,1984,0.1026,0.0036,0.0144
197,2120395050,1984,0.0324,0.0045,0.0252
198,2120395420,1984,0.0108,0.009,0
199,2121121480,1984,0.4968,0.0045,0.0477
200,2120392390,1984,0.0117,0.0225,0.0297
201,2120392560,1984,0.0927,0.0252,0.0648
202,2121118880,1984,0.0351,0.027,0.0963
203,2121118390,1984,0.0009,0,0
204,2120049620,1984,0.0576,0.1134,0.3906
205,2120049630,1984,0.0351,0.0072,0.0009
206,2120049640,1984,0,0,0
207,2120049650,1984,0.0027,0.0027,0.0513
208,2120049660,1984,0.3285,0.0747,0.1917
209,2120383640,1984,0.0756,0.0999,0.216
210,2120383430,1984,0.2583,0.0576,0.0225
211,2120381400,1984,0.036,0.027,0.0432
212,2120381270,1984,0,0,0
213,2120381280,1984,0.0324,0.0666,0.0549
214,2120381110,1984,0.1404,0.0261,0.0063
215,2120380060,1984,0.0657,0.0783,0.0549
216,2120379970,1984,0.2583,0.1449,0.1485
217,2120378450,1984,0.0198,0.027,0.0036
218,2120378340,1984,0.8487,0.2295,0.0756
219,2120378350,1984,0.1422,0.027,0.0288
220,2120378570,1984,0.1179,0.0135,0.0225
221,2121114540,1984,0.0369,0,0
222,2120376030,1984,0.234,0.0234,0.0216
223,2120375930,1984,0.0351,0.0126,0.0171
224,2120373410,1984,0.0234,0.0009,0
225,2120373340,1984,0.1539,0.0612,0.0324
226,2121113080,1984,0.0423,0.0126,0.0054
227,2121112390,1984,0.0612,0.0045,0.0225
228,2120371390,1984,0.1314,0.0756,0.4068
229,2120371290,1984,0.2853,0.081,0.0477
230,2120375310,1984,0.0081,0,0
231,2120375200,1984,0.1071,0.0117,0.0036
232,2120368990,1984,0.0675,0.0297,0.1089
233,2120368910,1984,0.0504,0.0756,0.0549
234,2120373790,1984,0.027,0,0
235,2120373640,1984,0.2169,0.0135,0.0279
236,2120372270,1984,0.0288,0.027,0.0666
237,2120372100,1984,0.1053,0.144,0.6075
238,2121109900,1984,0.1557,0.0171,0.5409
239,2120369500,1984,0.0261,0,0.0252
240,2120369260,1984,0.0261,0.0009,0
241,2120373240,1984,0.0126,0.0027,0
242,2120373150,1984,0.027,0.0225,0.0225
243,2121109610,1984,0.1098,0.0702,0.2043
244,2121111200,1984,0.0153,0,0
245,2120372280,1984,0.0513,0.0387,0.0189
246,2120372510,1984,0.0675,0.0504,0.0459
247,2120363430,1984,0.063,0.0882,0.1134
248,2120363360,1984,0.1899,0.0189,0.0378
249,2120368180,1984,0.0378,0,0
250,2120370330,1984,0.0243,0.0369,0.0189
251,2120368170,1984,0.0198,0,0
252,2120370200,1984,0.0234,0,0
253,2121113920,1984,0.0225,0.0063,0
254,2120367840,1984,0.0099,0.0081,0.009
255,2120367550,1984,0.0198,0.0144,0
256,2121108240,1984,0.1674,0.0576,0.2331
257,2120368740,1984,0.0117,0.0009,0
258,2120368800,1984,0.3087,0.0819,0.1044
259,2120369400,1984,0.09,0.0783,3.6711
260,2120369510,1984,0.126,0.0927,0.1449
261,2121110370,1984,0.1566,0.063,0.3087
262,2120368690,1984,0.0009,0,0
263,2120368410,1984,0.0189,0.0288,0.0036
264,2120360290,1984,0.0243,0,0
265,2120360530,1984,0.2124,0.036,0.1512
266,2120359650,1984,0.1017,0.0162,0.0135
267,2120359860,1984,0.1179,0.0189,0.0954
268,2120358670,1984,0.0702,0.0099,0.0054
269,2120358600,1984,0.0594,0,0.0072
